Final_Ref_no,Reference
1,"Bevelhimer, M. S., Stewart, A. J., Fortner, A. M., Phillips, J. R. and Mosher, J. J. (2016) ’CO₂ is Dominant Greenhouse Gas Emitted from Six Hydropower Reservoirs in Southeastern United States during Peak Summer Emissions’, Water, 8(1). doi:10.3390/w8010015."
2,"Tremblay, A., Therrien, J., Hamlin, B., Wichmann, E., and Ledrew, L. J. (2005). GHG Emissions from Boreal Reservoirs and Natural Aquatic Ecosystems. In Greenhouse Gas Emissions–Fluxes and Processes (pp. 209–232)."
3,"Bergström, A.-K., Algesten, G., Sobek, S., Tranvik, L., and Jansson, M. (2004). Emission of CO₂ from hydroelectric reservoirs in northern Sweden. Archiv für Hydrobiologie, 159(January), 25–42. doi:10.1127/0003-9136/2004/0159-0025."
4,"Therrien, J., Tremblay, A., and Jacques, R. B. (2005). CO₂ Emissions from Semi-Arid Reservoirs and Natural Aquatic Ecosystems. In Greenhouse Gas Emissions–Fluxes and Processes (pp. 233–250)."
5,"Bastien, J., and Demarty, M. (2013). Spatio-temporal variation of gross CO₂ and CH4 diffusive emissions from Australian reservoirs and natural aquatic ecosystems, and estimation of net reservoir emissions. Lakes and Reservoirs: Research and Management, 18, 115–127. doi:10.1111/lre.12028."
6,"Wang, S., Jiao, L., Yang, S., Jin, X., Liang, H., and Wu, F. (2011). Organic matter compositions and DOM release from the sediments of the shallow lakes in the middle and lower reaches of Yangtze River region, China. Applied Geochemistry, 26(8), 1458–1463. doi:10.1016/j.apgeochem.2011.05.019."
7,"Demarty, M., and Bastien, J. (2011). GHG emissions from hydroelectric reservoirs in the tropical and equatorial regions: Focus on CH 4 emissions. Montréal."
8,"Yang L, Lu F, Zhou X, Wang X, Duan X, and Sun B. (2014). Progress in the studies on the greenhouse gas emissions from reservoirs. Acta Ecologica Sinica 34: 204–212."
9,"Kemenes, A., Forsberg, B. R., and Melack, J. M. (2007). Methane release below a tropical hydroelectric dam. Geophysical Research Letters, 34(L12809), 1–5. doi:10.1029/2007GL029479."
10,"Musenze, R. S., Grinham, A., Werner, U., Gale, D., Sturm, K., Udy, J., and Yuan, Z. (2014). Assessing the Spatial and Temporal Variability of Di ff usive Methane and Nitrous Oxide Emissions from Subtropical Freshwater Reservoirs. Environmental Science and Technology, 48, 14499–14507."
11,"Rosa, L., Santos, M. Dos, Matvienko, B., and Sikar, E. (2002). Hydroelectric reservoirs and global warming. Proceedings of the Rio."
12,"Rosa, L. P., Aurelio, M., Santos, D. O. S., Matvienko, B., Oliveira, E., and Sikar, E. (2004). Greenhouse gas emissions from hydroelectric reservoirs in tropical regions. Climatic Change, 66, 9–21."
13,"Tremblay, A., Varfalvy, L., and Lambert, M. (2008). Greenhouse gases from boreal hydroelectric reservoirs: 15 years of data ?."
14,"Diem, T. (2008). Methane dynamics in oxic and anoxic aquatic systems."
15,"Hall, M., West, J., Lane, J., de Haas, D., and Sherman, B. (2009). Energy and greenhouse gas emissions for SEQ Water Strategy. Urban Water Security Reasearch Alliance."
16,"Sherman, B., Ford, P., Mitchell, A., and Hancock, G. (2001). Greenhouse gas emissions from reservoirs - is Australian hydropower environmentally friendly?."
17,"Nirmal Rajkumar, A., Barnes, J., Ramesh, R., Purvaja, R., and Upstill-Goddard, R. C. (2008). Methane and nitrous oxide fluxes in the polluted Adyar River and estuary, SE India. Marine Pollution Bulletin, 56(12), 2043–2051. doi:10.1016/j.marpolbul.2008.08.005."
