GFD_ID,Reservoir_name,GRanD_ID,Impoundment_year,Longitude__DD_,Latitude__DD_,Reservoir_area__km2_,Catchment_area__km2_,Dam_Height__m_,Mean_depth__m_,Age,Period_of_sampling,Sampled_month,CH4_diffusive__mgCH4_m_2_h_1_,CH4_Bubbling__mgCH4_m_2_h_1_,CO2_diffusive__mgCO2_m_2_h_1_,CH4_Total_Flux_mg_m_2_h_1_,Volume_million_m3,Sampled_Year,Final_Ref_no
1,Allatoona Lake Dam and Powerhouse,1862.0,1949.0,-84.727917,34.16625,49.0,2698.009993,44.196,9.2,63.0,2012,yearly-corrected,0.508102233,0.271306033,166.0414021,0.779408266,826.4945172,2012.0,1
75,Fontana,1801.0,1943.0,-83.807917,35.45375,115.0,4066.388628,146.0,11.6,69.0,2012,yearly-corrected,0.274150896,,67.92197799,0.274150896,613.0404821,2012.0,1
98,Guntersville,1847.0,1939.0,-86.392083,34.422083,279.0,63340.72809,29.0,4.5,73.0,2012,yearly-corrected,0.19517829,0.183889993,113.940211,0.379068283,888.1069358,2012.0,1
99,Hartwell Dam,1851.0,1962.0,-82.824583,34.362083,226.0,5441.993717,56.0,13.9,50.0,2012,yearly-corrected,0.847472564,0.002788962,96.81847904,0.850261526,10.73129214,2012.0,1
57,Douglas,1781.0,1944.0,-83.534583,35.96375,43.0,11773.10814,14.0,,68.0,2012,yearly-corrected,0.213630808,,66.25159169,0.213630808,347.8418832,2012.0,1
323,Watts Bar,1797.0,1942.0,-84.782917,35.62875,179.0,44836.29509,34.0,7.9,70.0,2012,yearly-corrected,0.234048126,0.011956019,96.43031605,0.246004145,377.8154923,2012.0,1
142,Laforge 1,1998.0,1993.0,-72.549583,54.182917,1288.0,6632.929081,14.0,6.2,4.0,1997,yearly-corrected,0.838364563,,61.44244214,0.838364563,,1997.0,2
138,Lac Ste. Anne Principal,2006.0,1957.0,-67.94125,50.107917,235.0,8071.591108,290.0,70.0,45.0,2002,yearly-corrected,0.00274737,,36.81783149,0.00274737,3273.0,2002.0,2
135,La Grande 4,1999.0,1983.0,-73.462083,53.89125,765.0,34656.70185,128.0,28.8,20.0,2003,yearly-corrected,0.326010666,,34.46372068,0.326010666,19530.0,2003.0,2
134,La Grande 3,1396.0,1984.0,-75.962083,53.72875,2420.0,62322.75293,256.0,24.8,19.0,2003,yearly-corrected,0.241341883,,49.25026289,0.241341883,60020.0,2003.0,2
128,La Grande 2,1394.0,1979.0,-77.45125,53.785417,2835.0,94201.02085,150.0,21.8,18.0,1997,yearly-corrected,0.234720792,,49.07396441,0.234720792,61720.0,1997.0,2
123,La Grande 1,1395.0,1979.0,-78.567083,53.73625,70.0,96759.23266,35.0,15.4,24.0,2003,yearly-corrected,0.25909296,,47.48932294,0.25909296,1200.0,2003.0,2
112,Isle Maligne Spillway 1,2021.0,1956.0,-71.63625,48.57875,1053.0,72782.29331,63.0,11.3,47.0,2003,yearly-corrected,,,34.14160088,,5370.0,2003.0,2
109,Hugh Keenleyside,282.0,1969.0,-117.77875,49.34125,520.0,36604.51665,150.0,74.2,33.0,2002,yearly-corrected,0.923627427,,-17.43999974,0.923627427,,2002.0,2
108,Hugh Keenleyside,282.0,1969.0,-117.77875,49.34125,520.0,36604.51665,150.0,74.2,33.0,2002,yearly-corrected,0.401577142,,18.64213965,0.401577142,,2002.0,2
143,Laforge 2,1996.0,1984.0,-70.712917,54.822083,260.0,3349.284202,24.0,7.1,19.0,2003,yearly-corrected,0.232339604,,25.052484,0.232339604,,2003.0,2
322,Wanship,456.0,1957.0,-111.40375,40.787917,4.81,2288.579601,45.7,19.33471933,46.0,2003,yearly-corrected,,,121.2152042,,75.06970571,2003.0,2
326,West Salmon Dam,2355.0,1983.0,-56.237083,48.17875,20.0,265.492007,21.0,1.4,20.0,2003,yearly-corrected,,,37.51912811,,30.0,2003.0,2
328,Whatshan,273.0,1951.0,-118.117083,49.91625,15.0,386.19977,12.0,7.1,51.0,2002,yearly-corrected,0.103255377,,-0.091473173,0.103255377,114.7,2002.0,2
96,Great Falls,716.0,1928.0,-96.00375,50.46375,10.0,134939.986,23.0,5.0,74.0,2002,yearly-corrected,0.235871072,,91.44430894,0.235871072,48.6,2002.0,2
95,Granite,2358.0,1970.0,-57.305417,48.107917,80.0,501.807786,30.0,13.7,33.0,2003,yearly-corrected,,,66.610247,,,2003.0,2
91,Gouin,2023.0,1964.0,-74.10375,48.357917,1789.0,8652.310994,47.9,5.0,35.0,1999,yearly-corrected,0.068922254,,16.21400985,0.068922254,8573.0,1999.0,2
